HocoNum,TechType,HighSpeed,population
130620,DOCSIS,0,178335
130620,DSL,0,212753
130620,FTTH,0,138739
130621,DOCSIS,0,9180
130621,FTTH,0,2502
130622,DSL,0,1073
130623,DOCSIS,0,28181
130623,DOCSIS,1,498
130623,DSL,0,28199
130623,DSL,1,3630
130623,FTTH,0,44249
130623,FTTH,1,1715
130623,Other,0,2349
130623,Other,1,2048
130624,DSL,0,45433
130624,FTTH,0,5764
130624,Other,0,198715
130626,DSL,0,1262
130627,DSL,0,110291
130630,DSL,0,1611
130630,FTTH,0,7481
130630,Other,0,702
130631,FTTH,0,3012
130631,Other,0,795
130634,Other,0,13946
130641,DOCSIS,0,6959
130645,DSL,0,5442
130647,Other,0,3200
130648,DOCSIS,0,18975
130651,DOCSIS,0,2601
130651,DSL,0,5432
130651,Other,0,1266
130653,DSL,0,97054
130653,FTTH,0,5924
130653,FTTH,1,130808
130655,DOCSIS,0,83726
130655,DSL,0,17884
130657,DSL,0,6256
130657,FTTH,0,6256
130661,FTTH,0,9490
130662,DSL,0,16914
130662,FTTH,0,22847
130663,Other,0,202241
130667,DSL,0,36548
130668,DOCSIS,0,10956
130672,DOCSIS,0,622
130673,DSL,0,34122
130673,FTTH,0,5458
130673,Other,0,49718
130674,DSL,0,1877
130674,FTTH,0,113
130677,DSL,0,5319
130677,FTTH,0,4343
130678,DSL,0,2717
130678,FTTH,0,861
130679,DSL,0,958
130679,FTTH,0,151
130681,DSL,0,3785
130682,FTTH,0,4228
130683,DSL,0,8154
130684,FTTH,0,5127
130684,Other,0,436186
130685,DSL,0,66021
130685,FTTH,0,66021
130685,Other,0,66021
130686,DSL,0,15308
130686,FTTH,1,8248
130690,DOCSIS,0,1095
130691,DSL,0,1616
130691,FTTH,0,1612
130692,DOCSIS,0,195
130692,FTTH,0,3242
130692,Other,0,9413
130693,DSL,0,2963
130695,DSL,0,660
130696,DSL,0,4938
130696,FTTH,0,436
130696,Other,0,2562
130697,DSL,0,12179
130697,FTTH,0,3627
130697,Other,0,53564
130699,DSL,0,186
130705,DOCSIS,0,16369
130707,Other,0,20973
130708,DSL,0,3008
130708,FTTH,0,1565
130708,Other,0,24
130709,DSL,0,3271
130709,FTTH,0,256
130709,Other,0,3834
130710,DSL,0,2095
130710,FTTH,0,290
130711,FTTH,0,956
130712,DSL,0,11679
130714,DOCSIS,0,4074
130714,DSL,0,7935
130714,FTTH,1,2434
130718,DSL,0,4439
130721,DSL,0,4774
130721,FTTH,0,17747
130721,Other,0,219
130724,DOCSIS,0,1162
130725,FTTH,0,3162
130725,FTTH,1,3999
130726,DSL,0,4344
130726,FTTH,1,1588
130728,DSL,0,636
130728,FTTH,0,2036
130728,Other,0,16219
130732,FTTH,0,8135
130733,DSL,0,3437
130733,FTTH,0,4247
130733,Other,0,53
130734,DOCSIS,0,16820
130734,DSL,0,4571
130735,DSL,0,327
130736,DSL,0,4429
130736,Other,0,1413
130742,DSL,0,6885
130742,FTTH,0,9526
130742,Other,0,112199
130743,DSL,0,5268
130743,FTTH,0,4036
130743,Other,0,4549
130744,DSL,0,1450
130744,FTTH,0,57
130745,DSL,0,20610
130745,FTTH,0,7620
130746,DOCSIS,0,20157
130746,DSL,0,17188
130747,DSL,0,4457
130748,FTTH,0,981
130749,Other,0,20123
130754,DSL,0,15339
