HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130142,FTTH,0,13282,Rural Communications Holding Corporation
130142,Other,0,942,Rural Communications Holding Corporation
130144,DOCSIS,0,6519,"Blue Valley Tele-Communications, Inc."
130144,FTTH,0,8282,"Blue Valley Tele-Communications, Inc."
130144,Other,0,15121,"Blue Valley Tele-Communications, Inc."
130146,Other,0,1403090,Brandenburg Cellular Corporation
130148,DSL,0,3504,"BPM, Inc.?"
130149,DOCSIS,0,45312,Braintree Electric Light Department
130150,DSL,0,148066,Brandenburg Communications Corp.
130150,FTTH,0,88004,Brandenburg Communications Corp.
130151,DSL,0,3218,"Brantley Telephone Company, Inc."
130151,FTTH,0,17207,"Brantley Telephone Company, Inc."
130152,DSL,0,12564,Brazoria Telephone Company
130153,DSL,0,10298,"Brazos Telephone Cooperative, Inc."
130154,DSL,0,15268,Breda Telephone Corp.
130154,FTTH,1,12660,Breda Telephone Corp.
130154,Other,0,14079,Breda Telephone Corp.
130159,DOCSIS,1,7556147,"Bright House Networks, LLC"
130160,DSL,0,1739,Bristol Bay Telephone Cooperative
130161,Other,0,284110,Broadband Corp.
130168,DOCSIS,0,8136,Broken Bow TV Cable
130169,DOCSIS,0,138,Brooklyn Mutual Telecommunications Cooperative
130169,DSL,0,4933,Brooklyn Mutual Telecommunications Cooperative
130170,DSL,0,3115,"Bruce Telephone Company, Inc."
130170,FTTH,0,349,"Bruce Telephone Company, Inc."
130171,DSL,0,578,Bryan Family Inc.
130171,Other,0,171,Bryan Family Inc.
130175,DSL,0,8207,Buggs Island Telephone Cooperative
130175,Other,0,63302,Buggs Island Telephone Cooperative
130176,FTTH,0,70217,"Bulloch County Rural Telephone Cooperative, Inc."
130178,FTTH,0,69,"Burke's Garden Telephone Co., Inc."
130179,DOCSIS,0,1558,Butler-Bremer Mutual Telephone Company
130179,DSL,0,3878,Butler-Bremer Mutual Telephone Company
130179,FTTH,0,4169,Butler-Bremer Mutual Telephone Company
130183,DOCSIS,0,3270756,"Cable One, Inc."
130184,DOCSIS,0,22947,"Cable Services, Inc."
130189,DSL,0,8050,Calaveras Communications Company
130189,FTTH,0,1847,Calaveras Communications Company
130189,Other,0,3310,Calaveras Communications Company
130192,DSL,0,4925,"Cambridge TelCom, Inc."
130193,DSL,0,7781,"Cambridge Telephone Company, Inc."
130193,FTTH,0,2522,"Cambridge Telephone Company, Inc."
130193,Other,0,946,"Cambridge Telephone Company, Inc."
130195,DSL,0,3100,Canadian Valley Telephone Company
130196,DSL,0,18579,Canby Telephone Association
130196,FTTH,1,15043,Canby Telephone Association
130199,DSL,0,8637,"Cap Rock Telephone Cooperative, Inc."
130199,FTTH,0,2366,"Cap Rock Telephone Cooperative, Inc."
130199,Other,0,741,"Cap Rock Telephone Cooperative, Inc."
130201,DSL,0,3055,Carnegie Telephone Company
130202,DOCSIS,0,49229,Carolina Mountain/Country Cablevision
130203,DSL,0,2325,"Carr Communications, Inc."
130204,DSL,0,4051,Cascade Communications Company
130204,FTTH,0,2875,Cascade Communications Company
130206,DSL,0,17275,Day Management Corporation
130206,FTTH,0,24714,Day Management Corporation
130207,DSL,0,1582,Casey Mutual Telephone Company
130208,DOCSIS,0,44603,"Cass Communications Management, Inc."
130208,DSL,0,6327,"Cass Communications Management, Inc."
130208,FTTH,0,2420,"Cass Communications Management, Inc."
130208,Other,0,33192,"Cass Communications Management, Inc."
130210,DSL,0,2615,Castleberry Communications
130218,FTTH,1,40819,Cedar Falls Municipal Communications Utility
130218,Other,0,26411,Cedar Falls Municipal Communications Utility
130223,DSL,0,1369,"Center Junction Telephone Company, Inc."
130224,DSL,0,8747,"Central Arkansas Telephone Cooperative, Inc."
130226,DSL,0,10128,Central Oklahoma Telephone Co.
130226,FTTH,0,1420,Central Oklahoma Telephone Co.
130226,Other,0,13005,Central Oklahoma Telephone Co.
130227,DSL,0,12100,"Central Texas Telephone Cooperative, Inc."
130227,FTTH,0,2561,"Central Texas Telephone Cooperative, Inc."
130227,Other,0,171641,"Central Texas Telephone Cooperative, Inc."
130228,DSL,0,48112481,"CenturyLink, Inc."
130228,FTTH,1,996053,"CenturyLink, Inc."
130228,Other,0,413,"CenturyLink, Inc."
130231,DOCSIS,0,64530,CBC Broadband Holdings LLC
130233,DSL,0,2279,Chapin Communications Corporation
130234,DSL,0,9248,Chariton Valley Telephone Corporation
130234,FTTH,0,15992,Chariton Valley Telephone Corporation
130234,Other,0,34744,Chariton Valley Telephone Corporation
130235,DOCSIS,1,28648475,Charter Communications
130237,DOCSIS,0,16145,Chatmoss Cablevision
130238,DSL,0,8521,Chazy & Westport Telephone
130238,FTTH,0,3563,Chazy & Westport Telephone
130239,DSL,0,7603,"Chequamegon Communications Cooperative, Inc."
130239,FTTH,1,10639,"Chequamegon Communications Cooperative, Inc."
130239,Other,0,27536,"Chequamegon Communications Cooperative, Inc."
130240,DSL,0,10108,Cherokee Telephone Company
130241,DOCSIS,0,12558,"Chesnee Telephone Company, Inc."
130241,DSL,0,12310,"Chesnee Telephone Company, Inc."
130242,DOCSIS,0,98973,Chester Telephone Company
130242,DSL,0,43323,Chester Telephone Company
130242,FTTH,0,15355,Chester Telephone Company
130243,DSL,0,5779,Cheyenne River Sioux Tribe Telephone Authority
130244,DSL,0,25897,"Chibardun Telephone Cooperative, Inc."
130244,FTTH,0,3566,"Chibardun Telephone Cooperative, Inc."
130244,Other,0,52168,"Chibardun Telephone Cooperative, Inc."
130245,DSL,0,70349,Chickasaw Holding Company
130250,DSL,0,3423,Christensen Communications Company
130250,FTTH,0,1275,Christensen Communications Company
130250,Other,0,1287,Christensen Communications Company
130251,DSL,0,6,Chugwater Telephone Company
130252,DSL,0,18932,"Churchill County, State of Nevada"
130252,FTTH,0,13886,"Churchill County, State of Nevada"
130254,DOCSIS,0,20338,Cincinnati Bell Inc.
130254,DSL,0,1444576,Cincinnati Bell Inc.
130254,FTTH,1,645501,Cincinnati Bell Inc.
130258,DSL,0,18480724,Frontier Communications Corporation
130258,FTTH,1,1666795,Frontier Communications Corporation
130259,DSL,0,4181,Citizens Mutual Telephone Cooperative
130259,FTTH,0,6383,Citizens Mutual Telephone Cooperative
