,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
1659,20183,1.0,0.0,4.0,7.0,1.0,0.0,7.0,10.0,1.0,0.0,7.0,9.0,1.0,0.0,5.0,8.0,1.0,0.0,5.0,9.0,1.0,0.0,4.0,8.0,2.0,0.0,4.0,9.0,2.0,0.0,4.0,10.0,1,20,3825.0,1723,KS,20183,68323.0
1660,20185,3.0,1.0,6.0,16.0,2.0,1.0,5.0,12.0,2.0,1.0,6.0,14.0,3.0,1.0,4.0,14.0,2.0,1.0,4.0,13.0,3.0,1.0,4.0,14.0,3.0,1.0,4.0,14.0,3.0,1.0,5.0,16.0,1,20,4437.0,2003,KS,20185,63782.0
1661,20187,0.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,0,20,2235.0,1210,KS,20187,74206.0
1662,20189,1.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,6.0,1,20,5724.0,1356,KS,20189,113528.0
1663,20191,3.0,3.0,7.0,19.0,2.0,3.0,7.0,16.0,3.0,3.0,6.0,16.0,3.0,3.0,5.0,16.0,3.0,3.0,6.0,18.0,3.0,3.0,5.0,17.0,3.0,3.0,5.0,17.0,3.0,3.0,6.0,18.0,1,20,24132.0,4413,KS,20191,92327.0
1664,20193,2.0,1.0,5.0,12.0,2.0,1.0,10.0,15.0,2.0,1.0,10.0,15.0,3.0,1.0,9.0,15.0,2.0,1.0,8.0,14.0,2.0,1.0,5.0,11.0,2.0,1.0,5.0,11.0,2.0,1.0,5.0,12.0,1,20,7429.0,898,KS,20193,117656.0
1665,20195,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1,20,2961.0,1455,KS,20195,87107.0
1666,20197,2.0,0.0,8.0,15.0,2.0,0.0,7.0,13.0,2.0,0.0,7.0,14.0,2.0,0.0,5.0,11.0,2.0,0.0,6.0,13.0,2.0,0.0,6.0,12.0,2.0,0.0,6.0,12.0,2.0,0.0,6.0,13.0,1,20,6244.0,1216,KS,20197,117060.0
1667,20199,1.0,1.0,2.0,7.0,1.0,2.0,5.0,10.0,1.0,2.0,5.0,10.0,1.0,2.0,5.0,10.0,1.0,2.0,5.0,12.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1,20,951.0,128,KS,20199,91132.0
1668,20201,3.0,1.0,5.0,14.0,2.0,1.0,5.0,13.0,2.0,2.0,4.0,13.0,2.0,1.0,5.0,13.0,2.0,1.0,5.0,12.0,2.0,1.0,5.0,12.0,3.0,1.0,5.0,12.0,4.0,1.0,5.0,15.0,1,20,5699.0,2071,KS,20201,77715.0
1669,20203,1.0,1.0,3.0,6.0,0.0,1.0,3.0,5.0,0.0,1.0,3.0,5.0,1.0,1.0,3.0,7.0,0.0,1.0,3.0,6.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,7.0,1,20,1900.0,383,KS,20203,86694.0
1670,20205,0.0,3.0,6.0,14.0,0.0,4.0,5.0,11.0,0.0,3.0,5.0,10.0,0.0,4.0,5.0,11.0,0.0,4.0,5.0,11.0,0.0,3.0,5.0,10.0,0.0,3.0,4.0,9.0,0.0,3.0,6.0,12.0,0,20,9240.0,2338,KS,20205,68839.0
1671,20207,1.0,2.0,5.0,13.0,0.0,4.0,5.0,11.0,0.0,4.0,5.0,11.0,0.0,4.0,4.0,10.0,0.0,4.0,4.0,10.0,0.0,2.0,4.0,8.0,1.0,2.0,5.0,11.0,1.0,2.0,5.0,12.0,1,20,3026.0,863,KS,20207,54906.0
1672,20209,4.0,2.0,5.0,13.0,3.0,3.0,4.0,12.0,3.0,2.0,5.0,12.0,3.0,2.0,6.0,14.0,3.0,2.0,4.0,12.0,4.0,2.0,6.0,15.0,3.0,2.0,4.0,13.0,3.0,3.0,5.0,15.0,1,20,157505.0,4793,KS,20209,119142.0
1673,30001,2.0,1.0,6.0,11.0,1.0,1.0,5.0,8.0,2.0,1.0,6.0,11.0,1.0,1.0,5.0,7.0,1.0,1.0,6.0,9.0,2.0,1.0,6.0,10.0,2.0,1.0,6.0,11.0,2.0,1.0,6.0,11.0,1,30,8250.0,1937,MT,30001,211039.0
