HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130265,3065,305,2760,14983,0.0,0.0,0.0,13829,0.0,0.0,0.0,1496,"Citizens Telephone Company, Inc. (GA)"
130266,5459,2417,3042,27836,0.0,0.0,0.0,28110,1.0,3919.0,0.13941657773034508,1408,Citizens Telephone Cooperative (VA)
130267,5211,5211,0,5380,0.0,0.0,0.0,5380,1.0,5380.0,1.0,311,"Citizens Telephone Cooperative, Inc. (WI)"
130269,7429,6434,995,12022,0.0,0.0,0.0,11136,0.0,0.0,0.0,1122,"Citizens Vermont Acquisition Company, Inc."
130271,21994,22010,-16,22010,0.0,0.0,0.0,21994,1.0,21994.0,1.0,1369,City of Brookings Telephone Fund
130274,214,214,0,422,0.0,0.0,0.0,422,0.0,0.0,0.0,127,City of Faith Municipal Telephone Company
130275,12995,13276,-281,13459,0.0,0.0,0.0,13131,1.0,12995.0,0.9896428299444063,1520,City of Ketchikan
130279,7388,4812,2576,128306,0.0,0.0,0.0,105522,0.0,0.0,0.0,1517,City of Scottsburg
130282,25738,25674,64,25674,0.0,0.0,0.0,25738,1.0,25738.0,1.0,47,City of Wadsworth
130283,4851,4851,0,4851,0.0,0.0,0.0,4851,0.0,0.0,0.0,1344,City of Windom
130285,4910,4845,65,4845,0.0,0.0,0.0,4910,0.0,0.0,0.0,1054,"Clarence Telephone Company, Inc."
130288,34831,32748,2083,34831,0.0,0.0,0.0,34831,1.0,34831.0,1.0,151,"Clay County Rural Telephone Cooperative, Inc."
130290,13460,7299,6161,11770,0.0,0.0,0.0,13814,1.0,13460.0,0.9743738236571594,651,Clear Lake Independent Telephone Company
130299,3644,1067,2577,1179,0.0,0.0,0.0,5457,0.0,0.0,0.0,1372,Climax Telephone Company
130300,20540,20540,0,21720,1.0,20540.0,0.9456721915285451,23825,1.0,20540.0,0.8621196222455404,834,Clinton County Telephone
130302,7657,8807,-1150,8807,0.0,0.0,0.0,7657,0.0,0.0,0.0,492,C-M-L Telephone Cooperative Association
130305,3221,2430,791,2430,0.0,0.0,0.0,3221,1.0,3221.0,1.0,1644,Cochrane Cooperative Telephone Company
130307,2749,1575,1174,9400,0.0,0.0,0.0,9411,0.0,0.0,0.0,985,"Coleman County Telephone Coop, Inc"
130309,1475,142,1333,117973,0.0,0.0,0.0,149722,1.0,1373.0,0.009170329009764763,1333,COLI Inc.
130310,4623,3328,1295,3328,0.0,0.0,0.0,4623,0.0,0.0,0.0,327,Colo Telephone Company
130312,3296,1012,2284,3296,0.0,0.0,0.0,3296,0.0,0.0,0.0,161,Colton Telephone Company
130314,12924,8290,4634,8290,0.0,0.0,0.0,12924,1.0,12924.0,1.0,1057,Columbus Telephone Company
130321,7821,6801,1020,6801,0.0,0.0,0.0,7821,0.0,0.0,0.0,264,"Communications 1 Network, Inc."
130335,965022,681413,283609,1626202,1.0,545530.0,0.33546263010376326,5177566,1.0,436050.0,0.08421910990608328,1475,"Consolidated Communications, Inc."
130337,36524,35213,1311,36569,0.0,0.0,0.0,36632,1.0,36609.0,0.9993721336536362,601,"Consolidated Communications Networks, Inc"
130338,55662,31460,24202,57942,0.0,0.0,0.0,66594,1.0,55662.0,0.8358410667627714,607,Consolidated Telephone Company
130345,1903,1919,-16,5830,0.0,0.0,0.0,5830,0.0,0.0,0.0,477,"Coon Valley Cooperative Telephone Association, Inc."
