HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130390,13270.0,11238.0,2032.0,16448,1.0,11238.0,0.6832441634241245,15844,1.0,13270.0,0.8375410249936884,341,Danville Mutual Telephone Company (iconnectyou)
130391,3779.0,0.0,3779.0,12423,0.0,0.0,0.0,13648,0.0,0.0,0.0,517,"Darien Telephone Company, Inc."
130393,15231.0,14948.0,283.0,14948,0.0,0.0,0.0,15231,0.0,0.0,0.0,1291,Daviess-Martin County RTC
130396,12130.0,5415.0,6715.0,51302,0.0,0.0,0.0,52391,0.0,0.0,0.0,133,"DeKalb Telephone Cooperative, Inc."
130398,5540.0,5834.0,-294.0,5834,0.0,0.0,0.0,5540,0.0,0.0,0.0,588,Delcambre Telephone Co.
130399,10831.0,5324.0,5507.0,8543,0.0,0.0,0.0,12256,0.0,0.0,0.0,1470,Delhi Telephone Company
130400,28789.0,4390.0,24399.0,14746,0.0,0.0,0.0,30033,0.0,0.0,0.0,1075,"Dell Telephone Cooperative, Inc."
130401,203.0,477.0,-274.0,34369,0.0,0.0,0.0,23203,0.0,0.0,0.0,1645,Delta Communications
130405,19276.0,19270.0,6.0,37743,1.0,19270.0,0.5105582492117744,19276,1.0,19276.0,1.0,1615,Dickey Rural Telephone Cooperative
130416,16148.0,8712.0,7436.0,17052,0.0,0.0,0.0,17131,0.0,0.0,0.0,1394,Doylestown Telephone Company
130419,3474.0,2533.0,941.0,2692,1.0,2533.0,0.9409361069836553,3474,1.0,3474.0,1.0,1658,Dumont Telephone Company
130420,1460.0,0.0,1460.0,4877,0.0,0.0,0.0,4877,0.0,0.0,0.0,516,"Dunbarton Telephone Company, Inc."
130421,2004.0,0.0,2004.0,2061,0.0,0.0,0.0,2004,0.0,0.0,0.0,212,Dunkerton Telephone Cooperative
130423,19458.0,17290.0,2168.0,33716,0.0,0.0,0.0,38035,1.0,19458.0,0.5115814381490732,283,Duo County Telephone Cooperative Inc.
130427,26630.0,0.0,26630.0,151809,1.0,12280.0,0.08089111976233293,174539,1.0,1462.0,0.00837635141716178,860,"E. Ritter Communications Holdings, Inc."
