HocoNum,HighSpeed,population
131057,0,27447
131060,0,5994
131060,1,10204
131066,0,1762
131071,0,2867
131072,0,8120
131072,1,1155
131073,0,16055
131074,0,270
131074,1,2976
131075,0,38288
131075,1,16
131076,0,67231
131078,0,7707
131078,1,3185
131081,0,299088
131081,1,647258
131085,0,1141
131086,0,3216
131087,0,43038
131089,0,61250
131090,0,56496
131090,1,1214
131096,0,2468
131097,0,16591
131097,1,10175
131100,1,16229
131102,0,1863
131102,1,14266
131103,1,89631
131104,0,4754
131106,0,1776
131106,1,1216
131108,0,70306
131108,1,15539
131109,0,2885
131109,1,3499
131113,0,10066
131113,1,22840
131114,0,2394
131116,0,20303
131117,0,8488
131118,0,13288
131118,1,13090
131122,0,49689
131122,1,822
131123,0,2809
131124,0,44271
131125,0,206916
131125,1,210620
131126,0,11508
131127,0,13627
131128,0,11223
131129,0,39366
131130,0,1680
131131,0,8308
131131,1,14711
131135,0,778
131139,0,3086
131139,1,7074
131141,0,117229
131141,1,61913
131142,0,2813
131145,0,12550
131145,1,6927
131146,0,1697
131148,0,6199
131152,0,20826
131157,0,3320
131158,0,52148
131161,0,15595
131162,0,36327
131162,1,6513
131163,0,43103
131163,1,4526
131165,0,17208
131166,0,3099
131167,0,70027
131167,1,132049
131168,0,4097
131169,0,800
131170,0,30668
131171,0,845
131172,0,1463
131173,0,41071
131174,0,13582
131175,0,25060
131175,1,14549
131176,0,9240
131177,0,26973
131177,1,1692
131179,0,6438
131179,1,49
131180,0,53019
131181,0,16969
131181,1,433661
131183,0,3139
131184,0,2038
131186,0,35711
131190,0,10830
131190,1,40792
131191,0,1010864
131194,0,3188
131195,0,7631
131197,0,24050
131199,0,4282
131199,1,58530
131204,0,13851
131204,1,2636
131206,0,23810
131206,1,66211
131208,0,13713
131214,0,7767
131216,0,35896
131216,1,52972
131218,0,7081
131218,1,5971
131219,0,74091
131219,1,2884
131221,0,13585
131222,0,7952
131222,1,43104
131223,0,6804
131225,0,28717
131226,0,334366
131226,1,5850
131230,0,17802
131231,0,1555
131232,0,8361
131232,1,12555
131233,0,148963
131234,0,8171
131239,1,11939
131240,0,2599
131241,0,3100
131242,0,6867
131243,0,1923
131243,1,959
131245,0,7186
131246,0,32597
131246,1,36149
131247,0,4021
131248,0,2100
131249,0,18545
131250,0,5741
131251,0,13527
131252,0,61532
131255,0,22706
131257,0,20430
131259,0,19213
131260,0,17764
131261,0,103
131265,0,171
131267,0,3879
131272,0,5009
131276,0,2005
131283,0,30680
131283,1,45805
131285,0,7557
131285,1,3847
131286,0,7587
131290,0,5869
131295,0,0
131296,0,22341
131299,0,6176
131302,0,30199
131302,1,1073359
131303,0,10068
131310,0,6051625
131310,1,834230
131311,0,377746
131315,0,864
131320,0,2174
131321,0,1458
131328,0,62316
131329,0,37752
131330,0,12233
131330,1,58904
131332,0,15074
131337,0,2489
131339,0,20958
131340,0,17776
131341,0,11264
131341,1,11428
131342,0,3190
131344,0,6404
131347,1,17185
131349,0,11137
131354,0,1523
131357,0,5528
131358,0,1475
131359,0,25631
131361,0,35608
131362,0,65982
131363,0,3013
131365,0,2699
131365,1,4721
131366,0,63627
131367,0,25912
131367,1,20536
131368,0,31223
131370,0,12834
131378,0,21559
131379,0,29441
131383,0,34688
131384,0,23293
131384,1,57673
131387,0,56414
131387,1,26102
131388,0,2116
131389,0,9558
131394,0,36878
131395,0,142415
131395,1,0
131396,0,51719
131396,1,21579
131397,0,13769
131397,1,6256
131400,0,57178
131401,0,3051
131404,0,273980
131404,1,66
131406,0,1609
131407,0,2030
131407,1,21281
131408,0,87383
131408,1,3614
131409,1,4802
131411,0,22494
131411,1,15902
131412,0,5009
131413,0,8222616
131413,1,247574
131414,0,5316
131415,0,5253
131416,0,2708
131418,0,1206
131421,0,35209
131422,1,25760
131423,0,3542
131425,0,21932031
131425,1,33937419
131426,1,29635
131427,0,1256
131427,1,21459
131431,0,4883
131441,0,42138
131444,0,43640
131444,1,23455
131445,0,15264
131445,1,13920
131448,0,55
131448,1,18097
131451,0,10432
131453,0,136
131454,0,45365
131454,1,1936629
131457,0,9689
131458,0,12044
131459,0,3755
131459,1,32003
131460,1,8873
131461,0,12370
131463,0,33973
131463,1,7563
131465,0,14590
131465,1,19169
131466,0,28650
131467,0,18296
131467,1,13237
131469,0,40728
131472,0,8373
131472,1,921
131473,0,3787
131475,0,2099
131476,0,38281
131478,0,16267
131478,1,2309
131480,0,191700
131480,1,6960918
131481,0,10395
131482,0,39860
131485,0,20311
131486,0,12351
131486,1,47530
131487,0,189
131492,0,2042
131493,0,3047
131493,1,42763
131494,0,27659
131497,0,708875
131505,0,2549
131506,0,2773
131507,0,44630
131510,0,1170
131512,0,14523
131516,0,85007
131517,0,25916
131518,0,24496
131518,1,19651
131520,0,2209
131611,1,62742
131612,0,13023
131613,0,30058
131900,0,16846
140001,0,40221
140012,0,22430
140016,0,14019
140018,0,144579
140020,1,63015
140030,0,41366
140030,1,8040
140032,0,748
140033,0,26879
140033,1,3591
140036,0,5256
140043,0,9335
140048,0,25719363
140050,0,13236
140055,0,15414
140059,0,9045
140063,0,123714
140064,0,798878
140076,0,2024
140078,0,45597
140080,1,969100
140084,0,12283
140092,0,5689
140092,1,17608
140097,0,13758
140101,0,6776
140105,0,2175333
140106,0,4484
150119,0,11242
150120,0,16891
150120,1,1504
150200,0,1412
150200,1,7936
150206,0,77961
150206,1,530097
150221,0,3955
150221,1,182
150225,0,3021
150227,0,7158
150229,0,1539
150235,0,11194
150236,0,19603
150237,1,4208
150244,0,354
150245,0,642
150249,0,44236
150250,0,175865
150258,0,41146
150258,1,32711
150262,0,15948
150266,0,89957
150270,0,66270
150270,1,4265
150271,0,30330
150272,0,148
150281,0,8721
150287,0,5076
150287,1,3191
150292,0,495094
150296,0,193794
150296,1,2046
150308,0,164633
150309,0,3008
150312,1,14754
150313,0,45773
150316,0,139624
150316,1,25568
150317,0,17704
150317,1,33658
150323,0,1358
150325,0,93780
150327,0,5779
150327,1,15091
150330,0,12220
150334,0,363095
150335,0,23927
150336,0,161796
150340,0,140698
150340,1,723
150341,0,1282
150344,0,15183
160101,0,11916
160103,0,3222
160108,1,156823
160110,0,41098
160113,0,26794
160115,0,3004865
160116,0,979972
160118,0,5395
160127,0,320094
160127,1,3186
160129,0,1529
160135,0,2184
160141,0,13196
160141,1,438
160146,0,9723
160151,0,4363
160157,0,176747
160157,1,79129
160160,0,76125
160160,1,22971
160162,0,1574
170014,0,2608
170025,0,274190
170025,1,905
170040,0,8699
170044,0,236
170047,0,20547
170050,0,5124
170054,0,192250
170058,1,77407
170062,0,4375
170064,0,7517
170064,1,17605
170066,0,18637
170071,0,44821
170098,0,45123
170098,1,136
170102,0,0
170105,0,7992
180006,0,5288
180009,0,2232
180010,0,14616
180012,1,13752
180026,0,1961
180026,1,87
180032,0,8369
180039,0,15616
180041,0,28125
180048,0,68442
180061,0,1087
180064,0,16373
190002,0,181178
190008,0,55664
190008,1,357
190013,0,1867
190014,0,301571
190015,0,37063
190015,1,2191
190019,0,73799
190025,0,10170
190036,0,9906
190045,0,2126
190046,0,3839
190047,0,31177
190053,0,29275
190056,0,23130
190058,1,102599
190059,0,16663
190066,1,48470
190069,0,1999
190070,0,28801
190070,1,1877
190071,0,6642
190073,0,27276
190075,0,3714
190079,0,59364
190080,0,3525
190081,1,157714
190083,0,2436
190084,1,179
190085,0,2553
190089,0,15528
190093,0,39836
190096,0,15771
190101,0,11710
190101,1,5184
190102,0,8232
190103,0,27380
190104,0,16427
190104,1,9568
190107,0,211725
190108,1,1392
190118,0,7076
190123,0,276139
190126,0,23198
190126,1,57019
190130,0,28950
190131,1,16272
190134,1,359817
190142,0,16436
190145,0,7052
190145,1,3421
190150,0,108663
190150,1,7879
190155,0,1760
190163,0,1402
190166,0,23746
190166,1,298
190169,0,100627
190172,0,13933
190180,0,2503
190181,0,27503
190182,0,13792
190184,0,35308
190185,0,2600
190187,0,27902
190187,1,6215
190188,0,743169
190189,0,800647
190192,0,76358
190193,0,4224
190204,0,1422
190207,0,81826
190208,0,31694
190211,0,151484
190215,0,32113
190218,0,131
190219,1,115015
190220,0,4642
190223,0,1847
190227,0,9262
190232,0,47872
190233,0,9721
190233,1,318
190236,0,1406774
190239,1,108004
190244,0,398305
190265,1,18544
190268,0,641
190274,0,5569
190275,0,22553
190281,0,3633
190282,1,3632
