HocoNum,HighSpeed,population
131045,0,197422
131046,0,23276
131047,0,551
131048,0,3327534
131049,0,2552
131050,0,203
131050,1,2102
131051,0,40725
131052,0,36708
131055,0,22615
131056,0,8786
131056,1,16885
131057,0,27144
131060,0,8332
131060,1,4947
131066,0,1708
131071,0,2867
131072,0,9275
131073,0,16055
131074,0,270
131074,1,2976
131075,0,33381
131076,0,119558
131078,0,7929
131078,1,1842
131081,0,219886
131081,1,169376
131085,0,1123
131086,0,3216
131087,0,43035
131089,0,43734
131090,0,63609
131096,0,3341
131097,0,20905
131097,1,8583
131100,1,16229
131102,0,2269
131102,1,13067
131103,0,87621
131104,0,3747
131106,0,3289
131108,0,69636
131108,1,10588
131109,0,2885
131109,1,3499
131111,0,353
131113,0,14355
131113,1,22290
131114,0,2142
131116,0,19642
131117,0,8141
131118,0,24257
131122,0,50510
131123,0,2809
131124,0,42533
131125,0,335898
131125,1,75866
131126,0,11559
131127,0,13414
131128,0,10630
131129,0,3
131130,0,1628
131131,0,10036
131131,1,12975
131132,0,14718
131133,0,603
131135,0,754
131139,0,9816
131141,0,118406
131141,1,60736
131142,0,3167
131145,0,17535
131146,0,1622
131148,0,6282
131152,0,20826
131157,0,3320
131158,0,57285
131161,0,15551
131161,1,3
131162,0,24348
131163,0,32312
131163,1,15226
131165,0,17509
131166,0,2998
131167,0,307669
131168,0,4113
131169,0,800
131170,0,27176
131171,0,804
131172,0,418
131173,0,41071
131175,0,28851
131175,1,10879
131176,0,9240
131177,0,28217
131177,1,19
131179,0,6406
131180,0,161979
131181,0,18120
131181,1,406760
131183,0,3139
131184,0,2038
131186,0,35708
131190,0,11517
131190,1,33320
131191,0,1010864
131194,0,3188
131195,0,7614
131197,0,23697
131199,0,11390
131199,1,47764
131204,0,13851
131204,1,2636
131206,0,22247
131206,1,2960
131208,0,10542
131214,0,7767
131216,0,45588
131216,1,44638
131218,0,602
131218,1,3330
131219,0,67350
131219,1,1514
131221,0,13343
131222,0,8017
131222,1,42598
131223,0,6804
131225,0,28395
