HocoNum,TechType,HighSpeed,population
130809,DOCSIS,0,12974
130810,DSL,0,3507
130814,DSL,0,2030
130814,FTTH,0,984
130814,FTTH,1,2918
130814,Other,0,158500
130817,Other,0,328199
130819,DSL,0,10011
130819,FTTH,1,4606
130821,DOCSIS,1,1312111
130825,DSL,0,4591
130825,FTTH,0,8592
130825,FTTH,1,200
130826,DOCSIS,0,28
130826,DOCSIS,1,32715
130826,DSL,0,64114
130826,FTTH,1,12737
130826,Other,0,1034
130827,DSL,0,3302
130827,FTTH,0,3302
130828,FTTH,1,13026
130829,Other,0,10259
130831,DSL,0,8944
130831,FTTH,0,3569
130831,Other,0,3910
130833,Other,0,192977
130834,Other,0,522850
130837,DSL,0,1881
130837,FTTH,0,1881
130838,DOCSIS,0,3916
130838,DSL,0,18974
130838,FTTH,1,31879
130838,Other,0,143979
130839,DOCSIS,0,3478
130839,FTTH,0,220
130844,DSL,0,15802
130845,FTTH,0,6355
130846,DSL,0,4244
130847,DSL,0,10938
130847,FTTH,0,9373
130849,DSL,0,7871
130850,DSL,0,530
130850,FTTH,1,16577
130851,FTTH,0,4044
130852,DSL,0,3252
130852,FTTH,0,3252
130853,FTTH,0,3996
130853,Other,0,10087
130854,DSL,0,5334
130854,FTTH,0,1844
130856,DOCSIS,1,1612
130856,FTTH,1,5055
130856,Other,1,19
130860,DSL,0,7612
130860,FTTH,1,7612
130861,DSL,0,5188
130861,FTTH,0,441
130862,DSL,0,17070
130862,FTTH,0,4192
130862,Other,0,14430
130865,DSL,0,36796
130865,FTTH,1,36796
130868,DOCSIS,0,1401
130872,DSL,0,170630
130872,FTTH,1,23460
130874,DSL,0,1650
130874,FTTH,0,934
130874,Other,0,3147
130875,DSL,0,7513
130875,FTTH,0,2855
130877,DOCSIS,1,20134
130877,DSL,0,15415
130877,FTTH,1,34350
130877,Other,0,1149
130878,DSL,0,14498
130878,Other,0,14498
130880,FTTH,0,11108
130880,Other,0,9239
130882,DSL,0,12984
130882,FTTH,1,7710
130885,DSL,0,5306
130885,FTTH,1,25764
130886,Other,0,460994
130887,DSL,0,10964
130887,Other,0,123613
130889,DOCSIS,0,3764
130889,DSL,0,592
130889,FTTH,0,8709
130890,DSL,0,43340
130890,FTTH,0,939
130890,FTTH,1,16831
130890,Other,0,40722
130901,DSL,0,2927
130902,FTTH,1,17003
130903,DOCSIS,1,8586
130903,DSL,0,2025
130903,FTTH,1,23210
130903,Other,1,32417
130904,DSL,0,1871
130904,FTTH,0,398
130904,FTTH,1,7954
130904,Other,0,66554
130905,DOCSIS,0,15133
130905,DSL,0,4213
130905,FTTH,0,167
130905,Other,0,2572
