HocoNum,HighSpeed,population,state
131128,0,11054,CO
131145,1,108,CO
131265,0,171,CO
131310,0,26590,CO
131310,1,107007,CO
131362,0,2783,CO
131387,0,35,CO
131404,0,10612,CO
131404,1,446,CO
131481,0,10230,CO
131487,0,189,CO
140048,0,2845490,CO
140048,1,790,CO
150244,0,354,CO
180026,0,1808,CO
180026,1,130,CO
190008,0,149,CO
190084,1,264,CO
190166,0,20446,CO
190166,1,259,CO
190192,0,70253,CO
190313,0,34308,CO
200057,0,316,CO
220012,0,2219,CO
230043,0,59725,CO
230043,1,9732,CO
240041,0,816,CO
240041,1,7328,CO
250092,0,1902,CO
270033,1,1453225,CO
280005,0,205,CO
280014,1,84282,CO
280068,0,35623,CO
290008,0,69389,CO
290051,0,6367,CO
290077,0,0,CO
290086,0,115,CO
300037,0,10071,CO
300078,0,653321,CO
300147,0,1793,CO
300171,0,24207,CO
300192,0,14967,CO
300192,1,21111,CO
310019,0,13892,CO
310024,0,13753,CO
310024,1,133,CO
310040,0,783,CO
310079,1,43022,CO
310085,0,104812,CO
320022,0,2369,CO
320075,0,89,CO
330023,0,35,CO
330032,0,15748,CO
330032,1,6715,CO
330052,0,2933,CO
330053,0,15309,CO
330054,0,81,CO
340009,0,141,CO
340050,0,18918,CO
350033,0,0,CO
350129,1,2403,CO
360038,0,6902,CO
360080,0,507,CO
360113,0,754,CO
360113,1,544,CO
370032,1,28765,CO
370037,0,7002,CO
370037,1,3549,CO
370121,0,3431,CO
370151,1,11,CO
370157,0,3426,CO
370162,0,2251,CO
370162,1,3440,CO
380014,0,618,CO
380070,1,224,CO
380083,0,64728,CO
380159,0,1758,CO
130235,1,355355,CT
130258,0,3392156,CT
130317,1,1835080,CT
130360,1,446736,CT
130370,1,831349,CT
130576,1,63923,CT
131425,0,6610,CT
131425,1,38549,CT
190192,0,157,CT
280001,0,5,CT
280001,1,138726,CT
340009,0,296,CT
370081,0,43879,CT
370151,0,12,CT
130317,1,758731,DE
130804,0,1181,DE
130804,1,76380,DE
131425,0,341237,DE
131425,1,508225,DE
280001,0,52,DE
280001,1,52967,DE
290009,0,88762,DE
290018,0,57612,DE
340019,0,76098,DE
130079,1,395189,DC
130317,1,594440,DC
131425,0,146586,DC
131425,1,449641,DC
150249,0,41111,DC
190508,0,4063,DC
300160,0,0,DC
130077,0,7587665,FL
130077,1,2827856,FL
130127,0,3104,FL
130228,0,2858226,FL
130228,1,767069,FL
130235,1,6960701,FL
130258,0,3748855,FL
130311,0,186,FL
130317,1,10159950,FL
130335,0,85146,FL
130360,1,737229,FL
130587,0,2985,FL
130623,0,34192,FL
130623,1,178124,FL
130728,0,0,FL
130795,0,22553,FL
130804,0,11549,FL
130804,1,322046,FL
130880,0,11198,FL
130988,0,36347,FL
130988,1,98680,FL
131060,0,5386,FL
131060,1,11442,FL
131204,0,9323,FL
131204,1,7226,FL
131310,0,27306,FL
131310,1,339,FL
131362,0,25281,FL
131413,0,218368,FL
131413,1,4418,FL
131480,1,810897,FL
150221,0,786,FL
160110,0,41098,FL
160151,0,5343,FL
160162,0,1587,FL
170064,0,6457,FL
170064,1,13939,FL
180048,0,68442,FL
180061,0,1087,FL
190008,0,9268,FL
190008,1,575,FL
190192,0,0,FL
190204,0,1454,FL
200022,1,27456,FL
200046,0,97821,FL
230021,0,0,FL
240010,0,5008202,FL
240041,0,18057,FL
240041,1,37304,FL
280001,1,250349,FL
290009,0,644695,FL
290017,0,609,FL
290048,0,354,FL
290050,0,79,FL
300116,0,272,FL
300119,0,5352,FL
310028,0,7530,FL
310040,0,0,FL
310044,1,82,FL
310055,0,1444,FL
330013,0,66804,FL
350033,0,154,FL
350123,1,186435,FL
360061,0,0,FL
360089,0,69736,FL
370027,0,2251,FL
370039,0,1521,FL
370067,0,2,FL
370089,0,6,FL
370151,0,187,FL
370151,1,109,FL
380038,0,639,FL
130044,0,38653,GA
130077,0,4458619,GA
130077,1,2778967,GA
130127,0,86,GA
130151,1,18254,GA
130176,0,58320,GA
130176,1,66172,GA
130228,0,87539,GA
130228,1,8,GA
130235,0,12634,GA
130235,1,1869372,GA
130242,0,8166,GA
130242,1,34776,GA
130258,0,49897,GA
130265,0,13829,GA
130272,0,8973,GA
130281,0,29702,GA
130317,1,5500306,GA
130335,0,391,GA
130360,1,285591,GA
130391,0,13648,GA
130545,0,1575,GA
130589,0,149877,GA
130623,0,1718,GA
130623,1,2549,GA
130746,0,25203,GA
130804,0,24235,GA
130804,1,723018,GA
131023,1,10700,GA
131041,1,43607,GA
131051,0,43404,GA
131051,1,5135,GA
131052,0,1470,GA
131052,1,49221,GA
131073,0,16055,GA
131076,0,69485,GA
131113,0,8920,GA
131113,1,24191,GA
131310,0,68602,GA
131310,1,25024,GA
131365,0,4531,GA
131365,1,9263,GA
131413,0,1353655,GA
131413,1,68333,GA
131480,1,495418,GA
131485,0,20080,GA
131485,1,231,GA
140030,0,9062,GA
140030,1,10255,GA
150206,1,66249,GA
150235,0,11194,GA
150236,0,19603,GA
150258,0,37295,GA
150258,1,32210,GA
150292,0,76594,GA
160151,0,369,GA
160157,0,4549,GA
180012,1,13752,GA
190008,0,368,GA
190058,1,102599,GA
190134,1,28865,GA
190215,0,32113,GA
200010,0,7178,GA
220017,0,207,GA
220017,1,2199,GA
220066,0,30762,GA
240041,1,103060,GA
250045,0,16,GA
300116,0,137,GA
300186,0,0,GA
300192,0,8561,GA
310013,0,28465,GA
310041,1,11585,GA
310054,0,922,GA
320042,0,6753,GA
330045,0,48,GA
330057,0,441,GA
330057,1,264,GA
340015,0,49,GA
340032,0,7867,GA
340088,0,19,GA
350060,0,17108,GA
360032,0,102083,GA
360061,0,9438,GA
370089,0,29604,GA
370151,0,686,GA
380119,0,373,GA
380151,1,391711,GA
130235,1,1305596,HI
130595,0,575345,HI
130595,1,698328,HI
131161,0,15024,HI
210103,0,21273,HI
240021,0,2349,HI
250004,0,7299,HI
310040,0,0,HI
320116,0,23730,HI
320116,1,432,HI
360061,0,0,HI
130032,0,4769,ID
130032,1,6451,ID
130132,0,12430,ID
130132,1,1848,ID
130183,1,966877,ID
130193,0,10382,ID
130193,1,5308,ID
130228,0,857732,ID
130228,1,247306,ID
130235,1,145945,ID
130258,0,230226,ID
130317,1,1084,ID
130360,1,17211,ID
130370,0,27730,ID
130378,0,9069,ID
130479,0,4325,ID
130479,1,3855,ID
130500,0,97204,ID
130651,0,934,ID
130784,0,1872,ID
130831,0,8817,ID
130874,0,3200,ID
130986,0,126780,ID
131075,0,37038,ID
131075,1,1266,ID
131123,0,76,ID
131190,0,5548,ID
131190,1,10555,ID
131310,0,3963,ID
131497,0,195247,ID
140033,0,28862,ID
140033,1,4609,ID
140048,0,1018112,ID
140048,1,0,ID
150292,0,15031,ID
160157,1,18142,ID
170071,0,43912,ID
220076,0,2232,ID
240046,0,8,ID
260010,0,3028,ID
260010,1,234,ID
260050,0,79788,ID
270032,0,3921,ID
290015,0,49,ID
290062,0,15491,ID
300179,0,502,ID
300187,0,915,ID
310036,0,10490,ID
310058,0,69629,ID
320059,0,311,ID
320105,0,17064,ID
320127,0,923013,ID
330054,0,10310,ID
330076,0,3562,ID
330085,0,5177,ID
340048,0,10909,ID
340058,0,34720,ID
350089,0,13792,ID
360075,0,4945,ID
360087,1,108,ID
360124,0,3619,ID
360134,0,85490,ID
360134,1,4409,ID
370008,0,5037,ID
370066,0,356,ID
370141,0,66,ID
130012,0,19076,IL
130012,1,56360,IL
130036,0,3322,IL
130077,0,8922640,IL
130077,1,1025968,IL
130079,1,688559,IL
130116,0,39952,IL
130119,0,403,IL
130124,0,41,IL
130127,0,910,IL
130132,0,0,IL
130183,1,277278,IL
130192,0,7847,IL
130192,1,2,IL
130208,0,59681,IL
130208,1,2018,IL
130228,0,131534,IL
130235,1,669638,IL
130258,0,1624869,IL
130287,0,654,IL
130317,1,9832614,IL
130335,0,147210,IL
130368,0,736,IL
130370,1,647,IL
130401,0,23203,IL
130402,0,8629,IL
130444,0,10189,IL
130472,0,29,IL
130503,0,1242,IL
130513,0,129181,IL
130528,0,3692,IL
130528,1,633,IL
130535,0,22413,IL
130544,0,3374,IL
130557,0,14861,IL
130559,0,466,IL
130584,0,42990,IL
130584,1,8895,IL
130604,0,2895,IL
130624,0,177871,IL
130624,1,6091,IL
130699,0,186,IL
130705,0,16369,IL
130735,0,327,IL
130749,0,79,IL
130769,0,27405,IL
130799,0,44234,IL
130802,0,938,IL
130804,0,54850,IL
130804,1,1020636,IL
130819,0,9962,IL
130819,1,21614,IL
130834,0,22,IL
130872,0,161769,IL
130872,1,23460,IL
130908,0,2059,IL
130955,0,2889,IL
130977,0,1567,IL
131030,1,0,IL
131074,0,186,IL
131074,1,3060,IL
131081,0,0,IL
131081,1,213420,IL
131104,0,4754,IL
131106,0,1896,IL
131106,1,1423,IL
131179,0,473,IL
131179,1,49,IL
131180,0,54091,IL
131226,0,4011,IL
131261,0,103,IL
131310,0,2708,IL
131358,0,1284,IL
131379,0,475,IL
131431,0,4773,IL
131445,0,3457,IL
131445,1,31162,IL
131480,1,1221059,IL
131505,0,2549,IL
140048,0,2592318,IL
140048,1,2,IL
140078,0,45215,IL
140078,1,48,IL
140105,0,812245,IL
150221,0,186,IL
150316,0,0,IL
160115,0,893232,IL
160157,1,6867,IL
190008,0,14905,IL
190008,1,359,IL
190103,0,28092,IL
190169,0,7979,IL
190211,0,7428,IL
190211,1,7,IL
190365,0,10910,IL
190501,0,25445,IL
200006,0,47568,IL
200026,0,5142,IL
200065,0,48624,IL
210061,1,834,IL
220036,0,5047,IL
240041,0,5649,IL
240041,1,30919,IL
240044,1,9978,IL
250007,0,51794,IL
250081,0,10620,IL
250085,0,32409,IL
260050,0,39176,IL
270025,0,9898,IL
270061,0,141,IL
270065,0,239596,IL
280005,0,571,IL
280051,0,14253,IL
280063,0,559,IL
280069,0,14938,IL
290021,0,864,IL
290031,1,14868,IL
290050,0,556,IL
290109,0,9582,IL
300026,0,8554,IL
300074,0,17214,IL
300074,1,2489,IL
300088,0,403,IL
300116,0,357,IL
300133,0,34088,IL
300175,0,15825,IL
300186,0,2387,IL
310066,0,258973,IL
320053,0,32421,IL
320093,0,391,IL
330045,0,2572,IL
330071,0,737,IL
330086,0,2294,IL
340015,0,5555,IL
350047,0,56665,IL
350063,0,99223,IL
350068,0,78967,IL
350085,0,3519,IL
350085,1,92989,IL
350088,0,144148,IL
350105,1,143,IL
350118,0,0,IL
360008,0,617,IL
360008,1,22,IL
360033,0,99,IL
360086,0,840,IL
360086,1,19,IL
360101,1,9255,IL
360109,1,9573,IL
360115,0,3200,IL
360122,0,4863,IL
370005,0,502,IL
370068,0,16827,IL
370068,1,1215,IL
370075,0,6625,IL
370102,0,948,IL
380054,0,14683,IL
380090,0,8031,IL
380109,0,17996,IL
380132,0,11385,IL
130077,0,2925061,IN
130077,1,557429,IN
130116,0,1584266,IN
130127,0,89,IN
130139,0,4484,IN
130183,1,278073,IN
130228,0,524164,IN
130228,1,9,IN
130235,1,1283034,IN
130254,0,11205,IN
130254,1,1561,IN
130258,0,1670903,IN
130268,0,5636,IN
130279,0,105522,IN
130288,1,34831,IN
130310,0,0,IN
130316,0,3359,IN
130317,1,3769517,IN
130335,0,0,IN
130363,0,2696,IN
130363,1,10834,IN
130370,0,10,IN
130393,0,15231,IN
130437,0,6178,IN
130437,1,28,IN
130532,0,5640,IN
130586,0,6085,IN
130586,1,63107,IN
130728,0,12,IN
130742,0,102485,IN
130742,1,10235,IN
130804,0,14511,IN
130804,1,317229,IN
130834,0,522850,IN
130838,0,54780,IN
130838,1,32758,IN
130853,0,14082,IN
130875,0,7513,IN
130904,0,63071,IN
130904,1,8506,IN
130905,0,18944,IN
130921,0,351746,IN
131016,0,690648,IN
131032,0,24220,IN
131032,1,31239,IN
131078,0,7738,IN
131078,1,3740,IN
131081,0,35050,IN
131081,1,506303,IN
131108,0,77063,IN
131108,1,11995,IN
131124,0,44781,IN
131225,0,15360,IN
131225,1,4103,IN
131285,0,8321,IN
131285,1,3976,IN
131286,0,7082,IN
131286,1,181,IN
131310,0,191436,IN
131310,1,18837,IN
131444,0,12123,IN
131444,1,179,IN
131451,0,10186,IN
131451,1,874,IN
131480,1,273121,IN
131520,0,2232,IN
140048,0,41129,IN
140064,0,130182,IN
170102,0,0,IN
180010,1,14840,IN
190056,0,22910,IN
190066,1,23,IN
190192,0,66,IN
190211,0,19413,IN
190211,1,4155,IN
190236,0,1072510,IN
210063,0,13713,IN
210063,1,0,IN
210087,0,13246,IN
210087,1,15890,IN
220027,0,182737,IN
250007,0,15697,IN
250027,0,34962,IN
250081,0,10,IN
260004,0,2040,IN
270023,0,32464,IN
290009,0,554005,IN
290021,0,26,IN
290039,0,7251,IN
290079,0,21625,IN
300005,0,42826,IN
300005,1,5923,IN
300091,1,2410,IN
300146,0,390,IN
300168,0,43,IN
300176,0,3493,IN
310040,0,21,IN
310066,0,481803,IN
320093,0,6672,IN
330045,0,1777,IN
350073,0,3463,IN
360008,0,362,IN
360009,1,70891,IN
360043,0,21,IN
360101,1,353,IN
360118,0,3367,IN
370067,0,1455,IN
380059,1,813,IN
380075,0,762,IN
380095,0,1377520,IN
380150,0,25973,IN
130008,0,17387,IA
130008,1,940,IA
130035,1,9320,IA
130040,0,4870,IA
130045,0,11958,IA
130046,0,1916,IA
130066,0,6772,IA
130092,0,3011,IA
130096,0,1072,IA
130120,0,11236,IA
130142,0,288,IA
130154,0,6093,IA
130154,1,12660,IA
130169,0,3031,IA
130179,0,11089,IA
130183,1,86198,IA
130204,1,3878,IA
130207,1,1085,IA
130218,0,870,IA
130218,1,40971,IA
130223,0,1108,IA
130228,0,1593613,IA
130228,1,262735,IA
130258,0,82719,IA
130259,0,1645,IA
130259,1,7094,IA
130285,0,4910,IA
130290,0,354,IA
130290,1,13460,IA
130302,0,7657,IA
130310,0,4623,IA
130321,0,7821,IA
130324,0,5978,IA
130325,0,3680,IA
130335,0,8085,IA
130343,0,6358,IA
130344,1,5646,IA
130346,0,3669,IA
130347,0,3377,IA
130353,0,3605,IA
130360,1,73695,IA
130374,0,5940,IA
130390,0,2574,IA
130390,1,13270,IA
130402,0,71,IA
130419,1,3474,IA
130421,0,2004,IA
130433,0,4636,IA
130450,0,2784,IA
130472,0,7649,IA
130473,0,1796,IA
130473,1,4014,IA
130475,1,4842,IA
130477,0,10466,IA
130478,0,1235,IA
130482,1,6434,IA
130483,0,320,IA
130483,1,5377,IA
130484,0,5037,IA
130484,1,15486,IA
130485,0,38046,IA
130488,0,1102,IA
130489,0,2833,IA
130489,1,1296,IA
130495,0,586,IA
130535,0,9947,IA
130552,0,22107,IA
130559,0,12990,IA
130560,0,2183,IA
130560,1,14565,IA
130567,0,13913,IA
130574,1,3673,IA
130590,0,696,IA
130596,1,1571,IA
130598,0,30212,IA
130621,0,10161,IA
130626,0,1437,IA
130630,0,23,IA
130630,1,10062,IA
130631,0,551,IA
130631,1,968,IA
130641,1,7247,IA
130677,0,5273,IA
130682,1,5951,IA
130693,0,3060,IA
130695,0,2214,IA
130709,0,3083,IA
130724,0,1269,IA
130732,1,3685,IA
130756,0,700,IA
130757,0,417,IA
130757,1,40425,IA
130759,0,3962,IA
130766,0,2156,IA
130767,0,2524,IA
130774,0,9930,IA
130774,1,23383,IA
130782,0,16216,IA
130782,1,2679,IA
130785,0,18143,IA
130787,0,2064,IA
130803,1,3502,IA
130804,0,29220,IA
130804,1,2038087,IA
130805,1,7064,IA
130829,0,261,IA
130837,0,1924,IA
130839,0,3594,IA
130845,0,14177,IA
130845,1,6355,IA
130846,0,4561,IA
130849,0,2908,IA
130877,0,8750,IA
130877,1,50814,IA
130878,0,11638,IA
130878,1,2890,IA
130906,0,1607,IA
130930,0,1725,IA
130938,0,15656,IA
130938,1,5594,IA
130953,0,30071,IA
130956,0,7,IA
130969,1,3688,IA
130974,0,593,IA
130974,1,1377,IA
130979,0,488,IA
130983,0,1491,IA
130989,0,1348,IA
130989,1,4071,IA
131003,0,567,IA
131006,0,9035,IA
131008,0,791,IA
131008,1,6141,IA
131010,0,5095,IA
131010,1,3415,IA
131066,0,2020,IA
131071,0,2867,IA
131085,1,1251,IA
131096,0,2535,IA
131114,0,2136,IA
131116,0,12084,IA
131126,0,2807,IA
131127,0,13796,IA
131135,0,778,IA
131142,0,2731,IA
131146,0,1693,IA
131166,0,3080,IA
131166,1,40,IA
131171,0,834,IA
131172,0,2019,IA
131222,0,10475,IA
131222,1,46493,IA
131239,1,11959,IA
131240,0,179,IA
131243,0,1882,IA
131243,1,1276,IA
131267,0,3879,IA
131276,0,2014,IA
131310,0,82776,IA
131315,0,2051,IA
131321,0,1462,IA
131354,0,1531,IA
131379,0,21201,IA
131379,1,8593,IA
131394,0,34965,IA
131413,0,515471,IA
131413,1,24,IA
131414,0,3841,IA
131415,0,5535,IA
131457,0,9689,IA
131458,0,7470,IA
131461,0,2262,IA
131461,1,7546,IA
131463,0,33641,IA
131463,1,7895,IA
131472,0,4051,IA
131472,1,5240,IA
131494,0,23288,IA
131507,0,46836,IA
131510,1,1170,IA
131612,0,11532,IA
131613,0,10928,IA
140048,0,1017259,IA
140048,1,29,IA
140076,0,2214,IA
140106,0,4571,IA
150272,0,18,IA
160127,0,81131,IA
160127,1,3058,IA
160129,0,1529,IA
160160,0,66319,IA
160160,1,32282,IA
170014,0,2608,IA
170050,0,5124,IA
170062,0,4375,IA
190080,0,3525,IA
190085,0,2553,IA
190101,0,11710,IA
190101,1,5184,IA
190103,0,484,IA
190108,1,1392,IA
190150,0,90348,IA
190180,0,2502,IA
190223,0,2871,IA
190244,0,1317,IA
210080,0,495,IA
240056,0,15537,IA
240056,1,27,IA
240081,0,3132,IA
240086,0,4,IA
240089,0,36800,IA
240089,1,6721,IA
240103,0,686,IA
260050,0,58569,IA
270084,0,5307,IA
280005,0,15755,IA
290050,0,12719,IA
300074,0,295,IA
300083,0,41239,IA
300101,0,131491,IA
300107,0,4661,IA
300131,0,41755,IA
300186,0,28019,IA
300186,1,4295,IA
310010,0,21036,IA
340004,0,1125,IA
